"Products","Productos"
"Technical Support","Soporte técnico"
"Discover the Difference","Descubre la diferencia"
"Become a Distributor Today!","¡Conviértete en distribuidor hoy!"
"Experience top-tier, innovative fueling solutions from FFS.","Accede a soluciones innovadoras de abastecimiento de primer nivel."
"Gain a market edge with high-quality, reliable products.","Obtén una ventaja competitiva con productos confiables y de alta calidad."
"Enjoy comprehensive support and product training.","Recibe soporte integral y capacitación de producto."
"Partner with a company aligned with industry growth.","Asóciate con una empresa comprometida con el crecimiento de la industria."
"Become a Distributor","Convertirse en distribuidor"
"Get in Touch","Contáctanos"
"Drop Us a Line!","¡Escríbenos!"
"Ready to enhance your fueling operations? Contact Fast Fill Systems to discover how our advanced solutions can benefit your business.","¿Listo para mejorar tus operaciones de abastecimiento? Contacta a Fast Fill Systems y descubre cómo nuestras soluciones pueden beneficiar a tu empresa."
"Office","Oficina"
"Email","Correo electrónico"
"Phone Number","Teléfono"
"First Name","Nombre"
"Last Name","Apellido"
"Phone","Teléfono"
"Work Number","Teléfono laboral"
"Work Email","Correo laboral"
"Message","Mensaje"
"How can we help?","¿Cómo podemos ayudarte?"
"Send","Enviar"
"Our Products","Nuestros productos"
"Search products","Buscar productos"
"Search...","Buscar..."
"Product Categories","Categorías de productos"
"Product categories","Categorías de productos"
"products","productos"
"Standard Crankcase","Cárter estándar"
"Parts","Repuestos"
"SureLoc 150","SureLoc 150"
"Pitboss","Pitboss"
"SureLoc 1000","SureLoc 1000"
"Atlas","Atlas"
"Check Valve","Válvula de retención"
"Standard Receiver","Receptor estándar"
"Deep Socket Tool","Llave de vaso profundo"
"Filtered Fuel Vent","Respiradero de combustible filtrado"
"Pressureless Filter Vents","Respiraderos filtrados sin presurización"
"Standard Fuel Vent","Respiradero de combustible estándar"
"High Flow Pressureless","Alto flujo sin presurización"
"Small Tank Pressureless","Tanque pequeño sin presurización"
"Select a quantity to add this product to your quote request.","Selecciona una cantidad para agregar este producto a tu solicitud de cotización."
"Quantity","Cantidad"
"ADD TO QUOTE","AGREGAR A COTIZACIÓN"
"UNAVAILABLE","NO DISPONIBLE"
"ADDING…","AGREGANDO…"
"Your quote is empty","Tu cotización está vacía"
"Add products to prepare your request.","Agrega productos para preparar tu solicitud."
"VIEW PRODUCTS","VER PRODUCTOS"
"KEEP BROWSING","SEGUIR EXPLORANDO"
"My Quote","Mi cotización"
"Shopping cart","Solicitar cotización"
"selected products","productos seleccionados"
"My Quote List","Mi lista de cotización"
"Remove from list","Quitar de la lista"
"REVIEW QUOTE REQUEST","REVISAR SOLICITUD"
"No equipment selected yet","Aún no has seleccionado equipos"
"BROWSE EQUIPMENT","EXPLORAR EQUIPOS"
"Your quote list is empty","Tu lista de cotización está vacía"
"Select the equipment you want our team to review.","Selecciona los equipos que deseas que revise nuestro equipo."
"Product Inquiry","Consulta de producto"
"Build your quote","Prepara tu cotización"
"ADD TO QUOTE LIST","AÑADIR A LA COTIZACIÓN"
"Selected Equipment","Equipos seleccionados"
"Required quantity","Cantidad requerida"
"Add more equipment","Añadir más equipos"
"Remove","Eliminar"
"VIEW MY QUOTE","VER MI COTIZACIÓN"
"We could not send your request.","No pudimos enviar tu solicitud."
"We could not connect to the server.","No pudimos conectarnos con el servidor."
"Request received","Solicitud recibida"
"Thank you for contacting us","Gracias por contactarnos"
"Your reference is","Tu número de referencia es"
"Quote Request Form","Formulario de solicitud de cotización"
"Full Name","Nombre completo"
"Company","Empresa"
"Industry","Industria"
"Mining","Minería"
"Construction","Construcción"
"Agriculture","Agricultura"
"Rail","Ferrocarril"
"Fleet","Flota"
"Heavy Equipment","Equipo pesado"
"Other","Otro"
"SENDING…","ENVIANDO…"
"SEND QUOTE REQUEST","ENVIAR SOLICITUD"
"Quote Summary","Resumen de cotización"
"Decrease quantity","Disminuir cantidad"
"Increase quantity","Aumentar cantidad"
"Continue adding products","Seguir agregando productos"
"Telephone","Teléfono"
"Address 2","Dirección 2"
"City","Ciudad"
"Country","País"
"Province","Provincia o región"
"Postcode","Código postal"
"Pricing","Precio"
"Ask for a quote","Solicitar cotización"
"Technical information","Información técnica"
"Select a quantity and add this product to My Quote. Our team will confirm the correct configuration and pricing.","Selecciona una cantidad y agrega este producto a Mi cotización. Nuestro equipo confirmará la configuración y el precio correctos."
"Product resources","Recursos del producto"
"Technical Information","Información técnica"
"Everything you need to specify, install, and support this product.","Todo lo necesario para especificar, instalar y utilizar este producto."
"Marketing Sheets","Fichas de marketing"
"Spec Sheets","Fichas técnicas"
"Fast Fill Systems Catalog","Catálogo de Fast Fill Systems"
"Download File","Descargar archivo"
"Let’s Talk","Hablemos"
"Follow the latest trends","Sigue las últimas tendencias"
"With our daily newsletter","Con nuestro boletín diario"
"Submit","Enviar"
"Contact","Contacto"
"Contact Fast Fill Systems to learn how our advanced fueling solutions can support your operation. We’re here to answer questions and help fuel your success.","Contacta a Fast Fill Systems para cotizar, repetir un pedido o resolver tus dudas. Estamos aquí para ayudarte."
"Drop Us a Line","Escríbenos"
"Ready to enhance your fueling operations? Reach out for inquiries, quotes, or to learn more about what Fast Fill Systems can do for you.","Escríbenos para consultar, cotizar o repetir un pedido de Fast Fill Systems."
"Contact Information","Información de contacto"
"Mon–Thu: 8 AM–5 PM · Fri: 8 AM–3 PM (MST/MDT)","Lun–Jue: 8:00–17:00 · Vie: 8:00–15:00 (MST/MDT)"
"Message Received","Mensaje recibido"
"Thank You","Gracias"
"Our team will contact you soon. Your reference is","Nuestro equipo te contactará pronto. Tu referencia es"
"We could not send your message.","No pudimos enviar tu mensaje."
"Tell us the part number, quantity, or previous order you want to repeat.","Indica el número de parte, la cantidad o el pedido anterior que quieres repetir."
